iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
243,28881341.4,28871340.900000002,0.0,327,ER12,20
244,28881341.4,28871340.900000002,0.0,327,ER9,20
245,28881341.4,28871340.900000002,0.0,52,ER16,20
246,28881341.4,28871340.900000002,0.0,52,ER14,20
247,28881341.4,28871340.900000002,0.0,48,ER7,20
248,28881341.4,28871340.900000002,0.0,48,ER14,20
249,28881341.4,28871340.900000002,0.0,129,ER8,20
250,28951341.4,28871340.900000002,0.0,129,ER5,20
251,28951341.9,28871340.900000002,0.5,379,ER2,20
252,28951341.4,28871340.900000002,-0.5,379,ER1,20
253,28951341.4,28871340.900000002,0.0,89,ER2,20
254,28951341.4,28871340.900000002,0.0,89,ER6,20
255,28951341.599999998,28871340.900000002,0.20000000000000284,344,ER11,20
256,28951341.4,28871340.900000002,-0.20000000000000284,344,ER8,20
257,28951341.799999997,28871340.900000002,0.40000000000000213,305,ER11,20
258,28951341.4,28871340.900000002,-0.40000000000000213,305,ER10,20
259,28951341.9,28871340.900000002,0.5,229,ER6,20
260,28951341.4,28871340.900000002,-0.5,229,ER7,20
261,28951341.9,28871340.900000002,0.5,237,ER6,20
262,28951341.4,28871340.900000002,-0.5,237,ER7,20
263,28951341.9,28871340.900000002,0.5,149,ER12,20
264,28951341.4,28871340.900000002,-0.5,149,ER7,20
265,28951341.4,28871340.900000002,0.0,327,ER12,20
